player,position,proj_ppr,proj_std,rec,sources_used
Tre' Harris,LAC,WR,112.9,68.7,44.2,3
Adonai Mitchell,NYJ,WR,111.4,70.9,40.5,3
Dontayvion Wicks,PHI,WR,109.5,68.0,41.5,3
Calvin Ridley,TEN,WR,107.3,69.5,37.8,3
DeMario Douglas,NE,WR,106.8,69.6,37.2,3
Germie Bernard,PIT,WR,106.8,67.5,39.2,3
Keon Coleman,BUF,WR,103.6,66.3,37.2,3
Zachariah Branch,ATL,WR,101.4,65.2,36.2,3
Ryan Flournoy,DAL,WR,100.8,64.2,36.5,3
Jalen McMillan,TB,WR,98.9,64.9,34.0,3
Darius Slayton,NYG,WR,98.0,64.5,33.5,3
Caleb Douglas,MIA,WR,95.3,60.8,34.5,3
Tank Dell,HOU,WR,95.3,63.3,32.0,3
Tory Horton,SEA,WR,95.2,61.0,34.2,3
Kayshon Boutte,NE,WR,94.7,62.5,32.2,3
Troy Franklin,DEN,WR,93.6,59.4,34.2,3
Ted Hurst III,TB,WR,93.6,63.9,29.8,3
Cyrus Allen,KC,WR,93.2,60.9,32.2,3
Isaac TeSlaa,DET,WR,92.7,65.7,27.0,3
Rashod Bateman,BAL,WR,90.9,59.4,31.5,3
Antonio Williams,WAS,WR,90.6,59.6,31.0,3
Darnell Mooney,NYG,WR,89.9,58.2,31.8,3
Elic Ayomanor,TEN,WR,89.6,56.1,33.5,3
Jack Bech,LV,WR,87.6,54.6,33.0,3
Jalen Tolbert,MIA,WR,87.4,54.4,33.0,3
Malachi Fields,NYG,WR,87.2,57.0,30.2,3
Chimere Dike,TEN,WR,86.9,51.4,35.5,3
Devaughn Vele,NO,WR,84.7,51.2,33.5,3
Tez Johnson,TB,WR,81.8,51.5,30.2,3
Malik Benson,LV,WR,80.5,52.2,28.2,3
Tyquan Thornton,KC,WR,79.3,55.8,23.5,3
Chris Bell,MIA,WR,79.0,50.8,28.2,3
Xavier Hutchinson,HOU,WR,75.5,48.5,27.0,2
Christian Kirk,SF,WR,74.6,47.3,27.2,3
Andrei Iosivas,CIN,WR,74.3,49.5,24.8,3
Kyle Williams,NE,WR,73.0,48.0,25.0,3
Olamide Zaccheaus,ATL,WR,69.5,41.2,28.3,2
Kendrick Bourne,ARI,WR,68.9,39.9,29.0,3
Jaylin Noel,HOU,WR,67.8,42.1,25.8,3
Marvin Mims Jr.,DEN,WR,65.5,44.0,21.5,3
Jahan Dotson,ATL,WR,64.8,40.8,24.0,3
Roman Wilson,PIT,WR,63.9,41.1,22.8,3
Mack Hollins,NE,WR,62.9,37.9,25.0,3
Kalif Raymond,CHI,WR,61.2,37.4,23.8,3
Bryce Lance,NO,WR,60.8,37.8,23.0,1
Treylon Burks,WAS,WR,60.5,39.0,21.5,3
Brenen Thompson,LAC,WR,59.0,38.2,20.8,3
Jordan Whittington,LAR,WR,55.7,31.4,24.2,3
Van Jefferson,WAS,WR,55.1,33.4,21.7,2
Dont'e Thornton Jr.,LV,WR,54.9,34.9,20.0,3
Calvin Austin III,NYG,WR,51.8,33.5,18.2,3
Elijah Sarratt,BAL,WR,48.8,32.0,16.8,3
Jaylin Lane,WAS,WR,48.0,31.0,17.0,2
Xavier Legette,CAR,WR,47.5,29.0,18.5,3
Tutu Atwell,MIA,WR,47.2,30.5,16.8,3
Hollywood Brown,PHI,WR,47.1,30.6,16.5,3
Devontez Walker,BAL,WR,46.0,32.5,13.5,3
Skyler Bell,BUF,WR,43.9,27.9,16.0,2
Cedric Tillman,CLE,WR,43.1,28.4,14.8,3
Chris Brazzell II,CAR,WR,38.6,24.3,14.2,3
Zavion Thomas,CHI,WR,35.4,22.7,12.7,2
Kendrick Law,DET,WR,20.5,13.5,7.0,1
Trey McBride,ARI,TE,262.5,155.0,107.5,3
Brock Bowers,LV,TE,261.1,162.9,98.2,3
Colston Loveland,CHI,TE,213.7,137.7,76.0,3
Tyler Warren,IND,TE,211.8,126.0,85.8,3
Harold Fannin Jr.,CLE,TE,192.8,116.2,76.5,3
Tucker Kraft,GB,TE,190.3,125.6,64.8,3
George Kittle,SF,TE,188.1,111.5,76.5,3
Sam LaPorta,DET,TE,183.8,113.0,70.8,3
Kyle Pitts Sr.,ATL,TE,178.6,102.6,76.0,3
Travis Kelce,KC,TE,162.4,95.1,67.2,3
Jake Ferguson,DAL,TE,161.8,88.6,73.2,3
Juwan Johnson,NO,TE,159.9,95.4,64.5,3
Dallas Goedert,PHI,TE,157.4,96.5,61.0,3
Dalton Kincaid,BUF,TE,154.2,102.8,51.5,3
Brenton Strange,JAX,TE,153.8,96.8,57.0,3
Isaiah Likely,NYG,TE,153.0,92.2,60.8,3
Dalton Schultz,HOU,TE,151.7,85.2,66.5,3
Hunter Henry,NE,TE,144.8,93.1,51.8,3
Chig Okonkwo,WAS,TE,143.3,85.3,58.0,3
Mark Andrews,BAL,TE,140.4,88.4,52.0,3
Greg Dulcich,MIA,TE,134.9,84.4,50.5,3
Pat Freiermuth,PIT,TE,126.3,77.5,48.8,3
T.J. Hockenson,MIN,TE,122.7,70.7,52.0,3
Cade Otton,TB,TE,121.3,68.8,52.5,3
Kenyon Sadiq,NYJ,TE,119.7,72.2,47.5,3
AJ Barner,SEA,TE,117.8,72.8,45.0,3
Colby Parkinson,LAR,TE,114.7,72.0,42.8,3
Oronde Gadsden,LAC,TE,109.7,69.7,40.0,3
Gunnar Helm,TEN,TE,102.2,56.2,46.0,3
David Njoku,LAC,TE,98.4,60.1,38.2,3
Mike Gesicki,CIN,TE,96.3,57.8,38.5,3
Evan Engram,DEN,TE,96.3,54.0,42.2,3
Cole Kmet,CHI,TE,95.9,57.9,38.0,3
Darren Waller,CAR,TE,92.8,56.8,36.0,2
Mason Taylor,NYJ,TE,85.3,45.6,39.8,3
Michael Mayer,LV,TE,79.0,44.3,34.8,3
Terrance Ferguson,LAR,TE,78.3,50.5,27.8,3
Dawson Knox,BUF,TE,78.2,50.2,28.0,3
Theo Johnson,NYG,TE,75.7,46.7,29.0,3
Eli Stowers,PHI,TE,75.4,48.2,27.2,3
Charlie Kolar,LAC,TE,71.0,44.0,27.0,3
Ja'Tavion Sanders,CAR,TE,70.8,38.0,32.8,3
Elijah Arroyo,SEA,TE,68.7,42.4,26.2,3
Luke Musgrave,GB,TE,66.0,39.0,27.0,3
Noah Gray,KC,TE,63.3,34.3,29.0,3
Jake Tonges,SF,TE,60.2,32.8,27.3,2
Tommy Tremble,CAR,TE,58.5,35.1,23.3,2
Darnell Washington,PIT,TE,55.4,31.9,23.5,3
Max Klare,LAR,TE,54.1,31.9,22.2,3
Ben Sinnott,WAS,TE,51.4,30.6,20.8,3
Noah Fant,NO,TE,48.3,27.1,21.2,3
Justin Joly,DEN,TE,32.0,19.0,13.0,2
Nate Boerkircher,JAX,TE,25.9,15.9,10.0,1
Oscar Delp,NO,TE,11.4,5.4,6.0,1
